Species,Port,Year,Month,Quantity,Value
Capelin,Akureyri,1982,5,0,0
Capelin,Akureyri,1982,6,0,0
Capelin,Akureyri,1982,7,0,0
Capelin,Akureyri,1982,8,0,0
Capelin,Akureyri,1982,9,0,0
Capelin,Akureyri,1982,10,0,0
Capelin,Akureyri,1982,11,0,0
Capelin,Akureyri,1982,12,0,0
Capelin,Akureyri,1983,1,0,0
Capelin,Akureyri,1983,2,0,0
Capelin,Akureyri,1983,3,0,0
Capelin,Akureyri,1983,4,0,0
Capelin,Akureyri,1983,5,0,0
Capelin,Akureyri,1983,6,0,0
Capelin,Akureyri,1983,7,0,0
Capelin,Akureyri,1983,8,0,0
Capelin,Akureyri,1983,9,0,0
Capelin,Akureyri,1983,10,0,0
Capelin,Akureyri,1983,11,6526,16705
Capelin,Akureyri,1983,12,6152,15615
Capelin,Akureyri,1984,1,38475,58737
Capelin,Akureyri,1984,2,0,0
Capelin,Akureyri,1984,3,0,0
Capelin,Akureyri,1984,4,0,0
Capelin,Akureyri,1984,5,0,0
Capelin,Akureyri,1984,6,0,0
Capelin,Akureyri,1984,7,0,0
Capelin,Akureyri,1984,8,0,0
Capelin,Akureyri,1984,9,0,0
Capelin,Akureyri,1984,10,0,0
Capelin,Akureyri,1984,11,0,0
Capelin,Akureyri,1984,12,0,0
Capelin,Akureyri,1985,1,8419,14563
Capelin,Akureyri,1985,2,3007,3946
Capelin,Akureyri,1985,3,0,0
Capelin,Akureyri,1985,4,0,0
Capelin,Akureyri,1985,5,0,0
Capelin,Akureyri,1985,6,0,0
Capelin,Akureyri,1985,7,0,0
Capelin,Akureyri,1985,8,4048,9334
Capelin,Akureyri,1985,9,8568,18182
Capelin,Akureyri,1985,10,8707,16115
Capelin,Akureyri,1985,11,9552,17880
Capelin,Akureyri,1985,12,5762,11248
Capelin,Akureyri,1986,1,5869,10305
Capelin,Akureyri,1986,2,1148,1368
Capelin,Akureyri,1986,3,0,0
Capelin,Akureyri,1986,4,0,0
Capelin,Akureyri,1986,5,0,0
Capelin,Akureyri,1986,6,0,0
Capelin,Akureyri,1986,7,1579,2991
Capelin,Akureyri,1986,8,5513,10089
Capelin,Akureyri,1986,9,9169,17056
Capelin,Akureyri,1986,10,9146,16868
Capelin,Akureyri,1986,11,10589,19859
Capelin,Akureyri,1986,12,7097,14267
Capelin,Akureyri,1987,1,3818,8654
Capelin,Akureyri,1987,2,11671,26550
Capelin,Akureyri,1987,3,5193,11944
Capelin,Akureyri,1987,4,1712,3938
Capelin,Akureyri,1987,5,0,0
Capelin,Akureyri,1987,6,0,0
Capelin,Akureyri,1987,7,0,0
Capelin,Akureyri,1987,8,0,0
Capelin,Akureyri,1987,9,1969,4958
Capelin,Akureyri,1987,10,1298,2953
Capelin,Akureyri,1987,11,11331,27341
Capelin,Akureyri,1987,12,6324,15179
Capelin,Akureyri,1988,1,8753,22914
Capelin,Akureyri,1988,2,9403,28786
Capelin,Akureyri,1988,3,5871,18200
Capelin,Akureyri,1988,4,0,0
Capelin,Akureyri,1988,5,0,0
Capelin,Akureyri,1988,6,0,0
Capelin,Akureyri,1988,7,0,0
Capelin,Akureyri,1988,8,0,0
Capelin,Akureyri,1988,9,762,2439
Capelin,Akureyri,1988,10,6158,19704
Capelin,Akureyri,1988,11,7445,29104
Capelin,Akureyri,1988,12,5556,22508
Capelin,Akureyri,1989,1,7937,32543
Capelin,Akureyri,1989,2,4164,17071
Capelin,Akureyri,1989,3,8474,34744
Capelin,Akureyri,1989,4,3452,14155
Capelin,Akureyri,1989,5,0,0
Capelin,Akureyri,1989,6,0,0
Capelin,Akureyri,1989,7,0,0
Capelin,Akureyri,1989,8,0,0
Capelin,Akureyri,1989,9,0,0
Capelin,Akureyri,1989,10,0,0
Capelin,Akureyri,1989,11,0,0
Capelin,Akureyri,1989,12,0,0
Capelin,Akureyri,1990,1,10012,43024
Capelin,Akureyri,1990,2,6542,25987
Capelin,Akureyri,1990,3,5115,18024
Capelin,Akureyri,1990,4,434,19
Capelin,Akureyri,1990,5,0,0
Capelin,Akureyri,1990,6,0,0
Capelin,Akureyri,1990,7,0,0
Capelin,Akureyri,1990,8,0,0
Capelin,Akureyri,1990,9,0,0
Capelin,Akureyri,1990,10,0,0
Capelin,Akureyri,1990,11,0,0
Capelin,Akureyri,1990,12,0,0
Capelin,Akureyri,1991,1,0,0
Capelin,Akureyri,1991,2,2715,13067
Capelin,Akureyri,1991,3,0,0
Capelin,Akureyri,1991,4,0,0
Capelin,Akureyri,1991,5,0,0
Capelin,Akureyri,1991,6,0,0
Capelin,Akureyri,1991,7,0,0
Capelin,Akureyri,1991,8,0,0
Capelin,Akureyri,1991,9,0,0
Capelin,Akureyri,1991,10,0,0
Capelin,Akureyri,1991,11,1553,7018
Capelin,Akureyri,1991,12,4809,22000
Capelin,Akureyri,1992,1,1052,5155
Capelin,Akureyri,1992,2,7493,32568
Capelin,Akureyri,1992,3,6003,23052
Capelin,Akureyri,1992,4,0,0
Capelin,Akureyri,1992,5,0,0
Capelin,Akureyri,1992,6,0,0
Capelin,Akureyri,1992,7,0,0
Capelin,Akureyri,1992,8,2385,10256
Capelin,Akureyri,1992,9,4929,20756
Capelin,Akureyri,1992,10,3775,15856
