Ár,Tekju- og gjaldaliðir,Tegund skipa,Rekstraryfirlit fiskveiða 1997-2024
1997,"Hreinn hagnaður sem hlutfall af tekjum, %",Bátar 10-200 brl.,-10.5
1997,"Hreinn hagnaður sem hlutfall af tekjum, %",Bátar > 200 brl.,-6.6
1997,"Hreinn hagnaður sem hlutfall af tekjum, %",Uppsjávarveiðiskip,8.1
1997,"Hreinn hagnaður sem hlutfall af tekjum, %",Ísfisktogarar,-5.0
1997,"Hreinn hagnaður sem hlutfall af tekjum, %",Frystitogarar,-1.2
1997,"Árgreiðsla, 6%",Samtals,10034.0
1997,"Árgreiðsla, 6%",Bátar undir 10 brl.,835.0
1997,"Árgreiðsla, 6%",Bátar 10-200 brl.,1850.0
1997,"Árgreiðsla, 6%",Bátar > 200 brl.,582.0
1997,"Árgreiðsla, 6%",Uppsjávarveiðiskip,1455.0
1997,"Árgreiðsla, 6%",Ísfisktogarar,1363.0
1997,"Árgreiðsla, 6%",Frystitogarar,3949.0
1997,Hreinn hagnaður - árgreiðsla,Samtals,95
1997,Hreinn hagnaður - árgreiðsla,Bátar undir 10 brl.,409
1997,Hreinn hagnaður - árgreiðsla,Bátar 10-200 brl.,-464
1997,Hreinn hagnaður - árgreiðsla,Bátar > 200 brl.,-185
1997,Hreinn hagnaður - árgreiðsla,Uppsjávarveiðiskip,1348
1997,Hreinn hagnaður - árgreiðsla,Ísfisktogarar,-349
1997,Hreinn hagnaður - árgreiðsla,Frystitogarar,-664
1997,"sem hlutfall af tekjum, %",Samtals,0.2
1997,"sem hlutfall af tekjum, %",Bátar undir 10 brl.,8.0
1997,"sem hlutfall af tekjum, %",Bátar 10-200 brl.,-3.4
1997,"sem hlutfall af tekjum, %",Bátar > 200 brl.,-6.6
1997,"sem hlutfall af tekjum, %",Uppsjávarveiðiskip,12.5
1997,"sem hlutfall af tekjum, %",Ísfisktogarar,-4.4
1997,"sem hlutfall af tekjum, %",Frystitogarar,-3.4
1998,1. Tekjur alls,Samtals,62787
1998,1. Tekjur alls,Bátar undir 10 brl.,6433
1998,1. Tekjur alls,Bátar 10-200 brl.,13269
1998,1. Tekjur alls,Bátar > 200 brl.,2943
1998,1. Tekjur alls,Uppsjávarveiðiskip,9187
1998,1. Tekjur alls,Ísfisktogarar,7984
1998,1. Tekjur alls,Frystitogarar,22972
1998,1.1  Útflutningstekjur,Samtals,26256
1998,1.1  Útflutningstekjur,Bátar undir 10 brl.,61
1998,1.1  Útflutningstekjur,Bátar 10-200 brl.,2137
1998,1.1  Útflutningstekjur,Bátar > 200 brl.,498
1998,1.1  Útflutningstekjur,Uppsjávarveiðiskip,212
1998,1.1  Útflutningstekjur,Ísfisktogarar,1840
1998,1.1  Útflutningstekjur,Frystitogarar,21509
1998,1.2  Selt hráefni,Samtals,33227
1998,1.2  Selt hráefni,Bátar undir 10 brl.,5595
1998,1.2  Selt hráefni,Bátar 10-200 brl.,10369
1998,1.2  Selt hráefni,Bátar > 200 brl.,2304
1998,1.2  Selt hráefni,Uppsjávarveiðiskip,8762
1998,1.2  Selt hráefni,Ísfisktogarar,5944
1998,1.2  Selt hráefni,Frystitogarar,252
1998,1.3  Aðrar tekjur,Samtals,3304
1998,1.3  Aðrar tekjur,Bátar undir 10 brl.,776
1998,1.3  Aðrar tekjur,Bátar 10-200 brl.,763
1998,1.3  Aðrar tekjur,Bátar > 200 brl.,141
1998,1.3  Aðrar tekjur,Uppsjávarveiðiskip,213
1998,1.3  Aðrar tekjur,Ísfisktogarar,200
1998,1.3  Aðrar tekjur,Frystitogarar,1211
1998,2  Gjöld alls,Samtals,50391
1998,2  Gjöld alls,Bátar undir 10 brl.,4993
1998,2  Gjöld alls,Bátar 10-200 brl.,11656
1998,2  Gjöld alls,Bátar > 200 brl.,2232
1998,2  Gjöld alls,Uppsjávarveiðiskip,6981
1998,2  Gjöld alls,Ísfisktogarar,6830
1998,2  Gjöld alls,Frystitogarar,17699
1998,2.1  Aflahlutir,Samtals,18554
1998,2.1  Aflahlutir,Bátar undir 10 brl.,1483
1998,2.1  Aflahlutir,Bátar 10-200 brl.,4308
1998,2.1  Aflahlutir,Bátar > 200 brl.,823
1998,2.1  Aflahlutir,Uppsjávarveiðiskip,2723
1998,2.1  Aflahlutir,Ísfisktogarar,2251
1998,2.1  Aflahlutir,Frystitogarar,6967
1998,2.2  Önnur laun,Samtals,3674
1998,2.2  Önnur laun,Bátar undir 10 brl.,0
1998,2.2  Önnur laun,Bátar 10-200 brl.,1061
1998,2.2  Önnur laun,Bátar > 200 brl.,371
1998,2.2  Önnur laun,Uppsjávarveiðiskip,660
1998,2.2  Önnur laun,Ísfisktogarar,634
1998,2.2  Önnur laun,Frystitogarar,949
1998,2.3  Launatengd gjöld,Samtals,1959
1998,2.3  Launatengd gjöld,Bátar undir 10 brl.,131
1998,2.3  Launatengd gjöld,Bátar 10-200 brl.,473
1998,2.3  Launatengd gjöld,Bátar > 200 brl.,106
1998,2.3  Launatengd gjöld,Uppsjávarveiðiskip,298
1998,2.3  Launatengd gjöld,Ísfisktogarar,254
1998,2.3  Launatengd gjöld,Frystitogarar,697
1998,2.4  Olíur,Samtals,3445
1998,2.4  Olíur,Bátar undir 10 brl.,145
1998,2.4  Olíur,Bátar 10-200 brl.,517
1998,2.4  Olíur,Bátar > 200 brl.,143
1998,2.4  Olíur,Uppsjávarveiðiskip,497
1998,2.4  Olíur,Ísfisktogarar,684
1998,2.4  Olíur,Frystitogarar,1458
1998,2.5  Veiðarfæri,Samtals,3484
1998,2.5  Veiðarfæri,Bátar undir 10 brl.,215
1998,2.5  Veiðarfæri,Bátar 10-200 brl.,675
1998,2.5  Veiðarfæri,Bátar > 200 brl.,129
1998,2.5  Veiðarfæri,Uppsjávarveiðiskip,1047
1998,2.5  Veiðarfæri,Ísfisktogarar,493
1998,2.5  Veiðarfæri,Frystitogarar,925
1998,2.6  Viðhald,Samtals,5167
1998,2.6  Viðhald,Bátar undir 10 brl.,734
1998,2.6  Viðhald,Bátar 10-200 brl.,1255
1998,2.6  Viðhald,Bátar > 200 brl.,224
