Species,Port,Year,Quantity,Value
Capelin,Breiðdalsvík,1988,0,0
Capelin,Breiðdalsvík,1989,0,0
Capelin,Breiðdalsvík,1990,0,0
Capelin,Breiðdalsvík,1991,0,0
Capelin,Breiðdalsvík,1992,0,0
Capelin,Breiðdalsvík,1993,0,0
Capelin,Breiðdalsvík,1994,0,0
Capelin,Breiðdalsvík,1995,0,0
Capelin,Breiðdalsvík,1996,0,0
Capelin,Breiðdalsvík,1997,0,0
Capelin,Breiðdalsvík,1998,0,0
Capelin,Breiðdalsvík,1999,0,0
Capelin,Breiðdalsvík,2000,0,0
Capelin,Breiðdalsvík,2001,0,0
Capelin,Breiðdalsvík,2002,0,0
Capelin,Breiðdalsvík,2003,0,0
Capelin,Breiðdalsvík,2004,0,0
Capelin,Breiðdalsvík,2005,0,0
Capelin,Breiðdalsvík,2006,0,0
Capelin,Breiðdalsvík,2007,0,0
Capelin,Breiðdalsvík,2008,0,0
Capelin,Breiðdalsvík,2009,0,0
Capelin,Breiðdalsvík,2010,0,0
Capelin,Breiðdalsvík,2011,0,0
Capelin,Breiðdalsvík,2012,0,0
Capelin,Breiðdalsvík,2013,0,0
Capelin,Breiðdalsvík,2014,0,0
Capelin,Breiðdalsvík,2015,0,0
Capelin,Breiðdalsvík,2016,0,0
Capelin,Breiðdalsvík,2017,0,0
Capelin,Breiðdalsvík,2018,0,0
Capelin,Breiðdalsvík,2019,0,0
Capelin,Breiðdalsvík,2020,0,0
Capelin,Breiðdalsvík,2021,0,0
Capelin,Breiðdalsvík,2022,0,0
Capelin,Breiðdalsvík,2023,0,0
Capelin,Breiðdalsvík,2024,0,0
Capelin,Brjánslækur,1982,0,0
Capelin,Brjánslækur,1983,0,0
Capelin,Brjánslækur,1984,0,0
Capelin,Brjánslækur,1985,0,0
Capelin,Brjánslækur,1986,0,0
Capelin,Brjánslækur,1987,0,0
Capelin,Brjánslækur,1988,0,0
Capelin,Brjánslækur,1989,0,0
Capelin,Brjánslækur,1990,0,0
Capelin,Brjánslækur,1991,0,0
Capelin,Brjánslækur,1992,0,0
Capelin,Brjánslækur,1993,0,0
Capelin,Brjánslækur,1994,0,0
Capelin,Brjánslækur,1995,0,0
Capelin,Brjánslækur,1996,0,0
Capelin,Brjánslækur,1997,0,0
Capelin,Brjánslækur,1998,0,0
Capelin,Brjánslækur,1999,0,0
Capelin,Brjánslækur,2000,0,0
Capelin,Brjánslækur,2001,0,0
Capelin,Brjánslækur,2002,0,0
Capelin,Brjánslækur,2003,0,0
Capelin,Brjánslækur,2004,0,0
Capelin,Brjánslækur,2005,0,0
Capelin,Brjánslækur,2006,0,0
Capelin,Brjánslækur,2007,0,0
Capelin,Brjánslækur,2008,0,0
Capelin,Brjánslækur,2009,0,0
Capelin,Brjánslækur,2010,0,0
Capelin,Brjánslækur,2011,0,0
Capelin,Brjánslækur,2012,0,0
Capelin,Brjánslækur,2013,0,0
Capelin,Brjánslækur,2014,0,0
Capelin,Brjánslækur,2015,0,0
Capelin,Brjánslækur,2016,0,0
Capelin,Brjánslækur,2017,0,0
Capelin,Brjánslækur,2018,0,0
Capelin,Brjánslækur,2019,0,0
Capelin,Brjánslækur,2020,0,0
Capelin,Brjánslækur,2021,0,0
Capelin,Brjánslækur,2022,0,0
Capelin,Brjánslækur,2023,0,0
Capelin,Brjánslækur,2024,0,0
Capelin,Bíldudalur,1982,0,0
Capelin,Bíldudalur,1983,0,0
Capelin,Bíldudalur,1984,0,0
Capelin,Bíldudalur,1985,0,0
Capelin,Bíldudalur,1986,0,0
Capelin,Bíldudalur,1987,0,0
Capelin,Bíldudalur,1988,0,0
Capelin,Bíldudalur,1989,0,0
Capelin,Bíldudalur,1990,0,0
Capelin,Bíldudalur,1991,0,0
Capelin,Bíldudalur,1992,0,0
Capelin,Bíldudalur,1993,0,0
Capelin,Bíldudalur,1994,11,107
Capelin,Bíldudalur,1995,0,0
Capelin,Bíldudalur,1996,0,0
Capelin,Bíldudalur,1997,0,0
Capelin,Bíldudalur,1998,0,0
Capelin,Bíldudalur,1999,0,0
Capelin,Bíldudalur,2000,0,0
Capelin,Bíldudalur,2001,0,0
Capelin,Bíldudalur,2002,0,0
Capelin,Bíldudalur,2003,0,0
Capelin,Bíldudalur,2004,0,0
Capelin,Bíldudalur,2005,0,0
Capelin,Bíldudalur,2006,0,0
Capelin,Bíldudalur,2007,0,0
Capelin,Bíldudalur,2008,0,0
Capelin,Bíldudalur,2009,0,0
Capelin,Bíldudalur,2010,0,0
Capelin,Bíldudalur,2011,0,0
Capelin,Bíldudalur,2012,0,0
Capelin,Bíldudalur,2013,0,0
Capelin,Bíldudalur,2014,0,0
Capelin,Bíldudalur,2015,0,0
Capelin,Bíldudalur,2016,0,0
Capelin,Bíldudalur,2017,0,0
Capelin,Bíldudalur,2018,0,0
Capelin,Bíldudalur,2019,0,0
Capelin,Bíldudalur,2020,0,0
Capelin,Bíldudalur,2021,0,0
Capelin,Bíldudalur,2022,0,0
Capelin,Bíldudalur,2023,0,0
Capelin,Bíldudalur,2024,0,0
Capelin,Búðardalur,1982,0,0
Capelin,Búðardalur,1983,0,0
Capelin,Búðardalur,1984,0,0
Capelin,Búðardalur,1985,0,0
Capelin,Búðardalur,1986,0,0
Capelin,Búðardalur,1987,0,0
Capelin,Búðardalur,1988,0,0
Capelin,Búðardalur,1989,0,0
Capelin,Búðardalur,1990,0,0
Capelin,Búðardalur,1991,0,0
Capelin,Búðardalur,1992,0,0
Capelin,Búðardalur,1993,0,0
Capelin,Búðardalur,1994,0,0
Capelin,Búðardalur,1995,0,0
Capelin,Búðardalur,1996,0,0
Capelin,Búðardalur,1997,0,0
Capelin,Búðardalur,1998,0,0
Capelin,Búðardalur,1999,0,0
Capelin,Búðardalur,2000,0,0
Capelin,Búðardalur,2001,0,0
Capelin,Búðardalur,2002,0,0
Capelin,Búðardalur,2003,0,0
Capelin,Búðardalur,2004,0,0
Capelin,Búðardalur,2005,0,0
Capelin,Búðardalur,2006,0,0
Capelin,Búðardalur,2007,0,0
Capelin,Búðardalur,2008,0,0
Capelin,Búðardalur,2009,0,0
Capelin,Búðardalur,2010,0,0
Capelin,Búðardalur,2011,0,0
Capelin,Búðardalur,2012,0,0
Capelin,Búðardalur,2013,0,0
Capelin,Búðardalur,2014,0,0
Capelin,Búðardalur,2015,0,0
Capelin,Búðardalur,2016,0,0
Capelin,Búðardalur,2017,0,0
Capelin,Búðardalur,2018,0,0
Capelin,Búðardalur,2019,0,0
Capelin,Búðardalur,2020,0,0
Capelin,Búðardalur,2021,0,0
Capelin,Búðardalur,2022,0,0
Capelin,Búðardalur,2023,0,0
Capelin,Búðardalur,2024,0,0
Capelin,Dalvík,1982,0,0
Capelin,Dalvík,1983,0,0
Capelin,Dalvík,1984,0,0
Capelin,Dalvík,1985,0,0
Capelin,Dalvík,1986,0,0
Capelin,Dalvík,1987,0,0
Capelin,Dalvík,1988,0,0
Capelin,Dalvík,1989,0,0
Capelin,Dalvík,1990,0,0
Capelin,Dalvík,1991,0,0
Capelin,Dalvík,1992,0,0
Capelin,Dalvík,1993,0,0
Capelin,Dalvík,1994,0,0
Capelin,Dalvík,1995,0,0
Capelin,Dalvík,1996,0,0
Capelin,Dalvík,1997,0,0
Capelin,Dalvík,1998,0,0
Capelin,Dalvík,1999,0,0
Capelin,Dalvík,2000,0,0
Capelin,Dalvík,2001,0,0
Capelin,Dalvík,2002,0,0
Capelin,Dalvík,2003,0,0
Capelin,Dalvík,2004,0,0
Capelin,Dalvík,2005,1825,60374
Capelin,Dalvík,2006,1215,39981
Capelin,Dalvík,2007,0,0
Capelin,Dalvík,2008,0,0
Capelin,Dalvík,2009,0,0
Capelin,Dalvík,2010,0,0
Capelin,Dalvík,2011,0,0
Capelin,Dalvík,2012,0,0
Capelin,Dalvík,2013,0,0
Capelin,Dalvík,2014,0,0
Capelin,Dalvík,2015,0,0
